timestamp,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2013-01-03,3258.1891340646034,3179.6259445308488,3167.078609093178,3189.9298152052734,3337.7644315735797,3641.0904227845604,3859.650477897324,4049.5826955181365,4217.009442492369,4261.167783798497,4258.87319985411,4191.771389936858,4071.8132096044765,4036.8160516603384,4017.613244607246,4081.5167074038204,4463.272368814454,4704.0186594282195,4782.253899338964,4706.760669699321,4603.553654574306,4316.0913800706885,3731.4589232858766,3505.06396998016
2013-01-04,3153.8742287111777,3056.631928064084,3027.1318436335864,3039.2216852528745,3145.206621862225,3398.129509247685,3718.958284395738,3864.9455381006946,3918.6889898735662,3962.4790631518727,3972.922299726562,3954.637131393692,3895.004637146398,3852.5303145902194,3801.940803247718,3788.4380268584823,4045.333948121854,4223.431696501134,4155.558565020703,4013.1677361306542,3822.125276780257,3622.1851029118498,3354.532784777953,3053.6107667044434
2013-01-05,2897.288171015612,2778.718008407652,2717.3784016081877,2693.48191224301,2722.832802184054,2819.3757853383636,3060.8534166976233,3286.795461217162,3480.821263718652,3622.246582073238,3671.8418493771383,3658.032338838162,3602.760782213748,3549.1319231485954,3510.8338419501424,3535.3423599006996,3772.5198249120667,4009.5390663092676,3999.7571879170673,3876.1171268137973,3730.1194558710367,3536.3933434760147,3284.8787213904297,3044.624230728811
2013-01-06,2916.7006087332015,2820.9378093467412,2770.4232492612337,2755.4742330484028,2773.5977742530335,2853.524759723222,3054.4277924231674,3259.2960063597898,3492.4922115484055,3614.4597938124466,3659.2196350835493,3657.8383731621648,3635.73000817392,3586.210110239151,3553.672023244846,3583.4537450391595,3820.9232392450235,4124.9243229305885,4074.433955766299,3952.8109218764,3780.180015312797,3559.268390134979,3290.8367550098437,3012.925611092908
2013-01-07,2730.966723103359,2642.7381847984925,2600.806002057405,2606.9331844163776,2690.8199866949803,2927.9538085358527,3299.4736211511417,3549.1044229689223,3657.8789422592927,3725.1782006909757,3762.6782465508254,3743.5019444551494,3693.816694795113,3655.36218842984,3618.2820603939062,3646.7087607953754,3972.9844963478845,4252.19147406581,4224.317475210123,4093.7600448411818,3890.399122104696,3624.411340199353,3248.326820169385,3047.650773510881
2013-01-08,2975.7608125559195,2902.725329554577,2855.02586635349,2872.7856819121553,2968.419904825756,3272.8415332091495,3554.8916339457105,3731.2305415337332,3824.6415057868526,3854.828052546129,3859.132724488317,3819.417868125069,3758.3754616155948,3715.057783387721,3676.063604605735,3706.891274704533,3971.783501000249,4223.049109484075,4233.420011778928,4135.391062865583,3992.413133251207,3698.0128951999322,3335.369693483298,3074.913876885079
2013-01-09,2814.720020679185,2722.585271715823,2684.6444356346015,2686.655590948166,2786.95826033091,3077.6863769578904,3518.502971314857,3736.3711640619804,3763.314036570869,3764.8728074527967,3764.2563545971784,3746.929666072564,3705.5697164837175,3688.8475222004945,3660.116536030031,3694.5135659057914,3970.469758178409,4224.006090341296,4203.179305639249,4092.813200782956,3873.6363081884306,3579.903275020832,3269.3237644094747,2982.430827717657
2013-01-10,2753.2809863388384,2655.0264662983136,2606.8032184320073,2608.5404177532646,2692.339509966416,2953.2004437835967,3367.4710699408815,3599.922792700519,3664.0759204908104,3727.858040942102,3757.915261673173,3751.579063341244,3697.295486543357,3678.7517278702703,3643.7203678611954,3664.425406607636,3915.5737487716747,4143.809682058128,4114.699803508003,4009.9603018977623,3849.622349610497,3604.5970938398123,3264.290383968925,2991.1832556944614
2013-01-11,2753.7598234287575,2660.0089291763275,2617.6062337086732,2623.5238177848696,2727.9992416323407,2995.5182771692425,3436.468268298322,3655.6796140140323,3709.553584500708,3721.139777698848,3718.9298968643016,3687.129163714499,3641.1971779819164,3613.001526633578,3581.10322269942,3593.3119039782437,3817.491016702608,4045.2552418051164,4010.85853374337,3878.256318937102,3713.382673583496,3479.8621779417495,3218.7612380537353,2951.9077354543415
2013-01-12,2695.5604518389496,2587.6658251750046,2535.7816050009383,2513.5129138853267,2556.9788053580805,2669.8896848922336,2905.702063598398,3133.080348259782,3331.136874899635,3476.399643353754,3522.1526456044203,3514.933655413687,3461.4052671701174,3417.242033903406,3382.381830705271,3409.171042047529,3627.7402481035792,3823.7477057881374,3780.3238343624757,3660.571943840569,3527.2967049516965,3346.0250284678405,3069.1242059274223,2823.6484453956414
